	fullname	id	likes	replies	retweets	text	timestamp	url	user	sentiment score
363	Bette Midler	866061284567121920	7450	1010	2374	So#SaudiArabia, birthplace of Islam,  Mecca & 19 of 9/11 terrorists, gave Muslim-basher #Trump its highest civilian honor? I don't get it.	2017-05-20 22:41:15	/BetteMidler/status/866061284567121924	BetteMidler	0.0
364	David Horowitz	866067261693415424	1979	100	1468	So Trump has persuaded Muslims to join the U.S. war on Islamic terrorists. Blows the anti-Muslim meme sky high. http://www.washingtonexaminer.com/us-saudi-arabia-issue-joint-terrorist-designation/article/2623623 …	2017-05-20 23:05:00	/horowitz39/status/866067261693415424	horowitz39	0.16
365	John Betts	866030189712723968	297	20	196	Hillary Wld've Continued Obama's Policies, + Fundamental Transformation Wld've Been Irreversible. Trump Saved us From a 3rd World Existence	2017-05-20 20:37:41	/JohnFromCranber/status/866030189712723968	JohnFromCranber	0.0
366	Marc Caputo	865924684789018624	626	41	412	More than 2 years after this tweet, Mrs. Trump and his daughter deplaned without headscarves in Saudi Arabia https://twitter.com/realdonaldtrump/status/560839957426999297 …	2017-05-20 13:38:27	/MarcACaputo/status/865924684789018626	MarcACaputo	0.5
367	Robby Ball	865959718250057728	60	8	108	#Poll HOW HAS TRUMP DONE? #Trump lands #SaudiArabia #Melania gets warm welcome #ThreeWordTrump #ArmedForcesDay #ITakeGreatPrideIn #Tillerson	2017-05-20 15:57:40	/perfectsliders/status/865959718250057728	perfectsliders	0.7
368	CBS News	866064502235824128	490	347	662	Congressman threatened with lynching after calling for Trump's impeachment: http://cbsn.ws/2pXlumS pic.twitter.com/9aEXwtN1dp	2017-05-20 22:54:02	/CBSNews/status/866064502235824130	CBSNews	0.0
369	steve baker	866081098115063808	0	0	0	Racial slurs thrown at Congressman Al Green after he calls for Trump's impeachment http://a.msn.com/01/en-us/BBBkwUU?ocid=st …	2017-05-20 23:59:59	/sb4dyna/status/866081098115063808	sb4dyna	-0.2
370	Rick Mays	866081097934712832	0	10	0	They have not used Chemical weapons since took out half of the airport. Trump means what he says not drawing red-lines.	2017-05-20 23:59:59	/Rickm_29/status/866081097934712832	Rickm_29	-0.16666666666666666
371	The New York Times	887817906096132096	3659	995	3292	Trump said he wouldn't have appointed Jeff Sessions if he'd known Sessions would recuse himself on Russia http://nyti.ms/2trWWnZ 	2017-07-19 23:34:18	/nytimes/status/887817906096132097	nytimes	0.0
372	GINGER~BEARD	887824372085399552	0	0	0	Trump says he wouldn't have picked Sessions if he knew he'd recuse himself http://www.cnn.com/2017/07/19/politics/donald-trump-interview-jeff-sessions/index.html …	2017-07-19 23:59:59	/TRI_MY_LYFE/status/887824372085399554	TRI_MY_LYFE	0.0
